City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,carnarvon,-24.8667,113.6333,81.82,47,1,14.09,AU,1651467835
84,ito,34.9667,139.0833,61.68,67,93,7.87,JP,1651467836
85,east london,-33.0153,27.9116,59.49,74,0,5.79,ZA,1651467836
86,clyde river,70.4692,-68.5914,8.83,85,100,13.8,CA,1651467467
87,nome,64.5011,-165.4064,34.48,60,7,12.77,US,1651467577
88,kisaran,2.9845,99.6158,84.96,79,97,4.09,ID,1651467837
89,vanavara,60.34,102.2797,37.85,39,100,10.45,RU,1651467838
90,kodiak,57.79,-152.4072,39.6,88,78,5.46,US,1651467838
91,trelew,-43.249,-65.3051,51.06,65,100,9.19,AR,1651467685
92,cabedelo,-6.9811,-34.8339,77.72,85,50,8.39,BR,1651467767
93,mogadishu,2.0371,45.3438,83.1,76,98,12.53,SO,1651467839
94,krasnoselkup,65.7,82.4667,30.67,95,74,6.08,RU,1651467840
95,perelyub,51.8667,50.3667,45.34,38,1,8.7,RU,1651467840
96,kruisfontein,-34.0033,24.7314,51.28,85,4,4.47,ZA,1651467521
97,labuhan,-6.8844,112.2051,86.76,71,93,8.7,ID,1651467841
98,beisfjord,68.3751,17.5988,37.04,94,100,7.4,NO,1651467841
99,camacha,33.0833,-16.3333,60.22,72,40,11.5,PT,1651467691
100,ostersund,63.1792,14.6357,42.62,60,75,13.8,SE,1651467744
101,mitchell,43.7094,-98.0298,40.1,86,29,5.01,US,1651467674
102,prince george,53.9166,-122.753,51.3,62,100,2.35,CA,1651467669
103,pisco,-13.7,-76.2167,64.45,82,0,8.05,PE,1651467566
104,iqaluit,63.7506,-68.5145,20.93,85,75,5.75,CA,1651467463
105,torbay,47.6666,-52.7314,39.27,95,75,5.99,CA,1651467800
106,lompoc,34.6391,-120.4579,52.57,80,75,25.99,US,1651467757
107,kavieng,-2.5744,150.7967,84.06,74,49,7.54,PG,1651467843
108,gazanjyk,39.2446,55.5154,65.93,69,95,10.36,TM,1651467844
109,port hedland,-20.3167,118.5667,87.85,45,94,8.05,AU,1651467832
110,saint anthony,45.0205,-93.218,43.25,86,100,13.8,US,1651467845
111,ribeira grande,38.5167,-28.7,61.75,84,19,1.66,PT,1651467845
112,avarua,-21.2078,-159.775,80.65,78,75,2.3,CK,1651467464
113,araouane,18.9048,-3.5265,72.97,20,0,11.77,ML,1651467846
114,victoria,22.2855,114.1577,68.05,87,100,5.01,HK,1651467794
115,okhotsk,59.3833,143.3,35.71,77,34,9.51,RU,1651467846
116,surgana,20.5667,73.6167,89.89,37,2,9.19,IN,1651467847
117,sept-iles,50.2001,-66.3821,41.52,42,0,5.75,CA,1651467404
118,tautira,-17.7333,-149.15,79.99,72,94,5.46,PF,1651467848
119,atar,20.5169,-13.0499,78.58,16,1,10.25,MR,1651467525
120,sao filipe,14.8961,-24.4956,72.12,76,1,8.5,CV,1651467849
121,naryan-mar,67.6713,53.087,23.07,92,100,8.66,RU,1651467849
122,qafqafa,32.3483,35.9395,56.5,63,50,4.32,JO,1651467850
123,touros,-5.1989,-35.4608,76.84,89,22,10.47,BR,1651467850
124,severo-kurilsk,50.6789,156.125,36.28,87,86,7.43,RU,1651467851
125,comodoro rivadavia,-45.8667,-67.5,48.94,78,82,4.16,AR,1651467852
126,tiksi,71.6872,128.8694,18.28,78,33,9.48,RU,1651467852
127,inyonga,-6.7167,32.0667,63.19,93,89,5.17,TZ,1651467853
128,waddan,29.1614,16.139,58.98,64,1,19.98,LY,1651467853
129,ust-kuyga,70.0167,135.6,22.01,78,100,9.57,RU,1651467854
130,hithadhoo,-0.6,73.0833,85.08,75,100,18.59,MV,1651467464
